"spatial_scale","regions","climates","type","probas","time_window"
"rta",9,"gfdl-esm4 ssp585","at_least_one_25_up",0.678556931056,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_5_down",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_10_down",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_25_down",0.72727,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_5_up_down",0.955930027438,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_10_up_down",0.950422038292,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_25_up_down",0.493494099249097,30
"rta",9,"gfdl-esm4 ssp585","at_least_two_5_down",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_two_10_down",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_two_25_down",0.24545,30
"rta",9,"gfdl-esm4 ssp585","at_least_three_5_down",0.537147565528,30
"rta",9,"gfdl-esm4 ssp585","at_least_three_10_down",0.404924792764,30
"rta",9,"gfdl-esm4 ssp585","at_least_three_25_down",0.0181800000000001,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_5_up",0.900844076584,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_10_up",0.678556931056,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_25_up",0.1111,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_5_down",0.779625896281,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_10_down",0.448997244573,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_25_down",0,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.702321370616231,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.304670192330055,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_two_5_down",0.234147657438,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_two_10_down",0.0633487608539999,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_three_5_down",0.0165264462810001,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_three_10_down",0.00275399457299993,30
"rta",9,"ipsl-cm6a-lr ssp126","at_least_three_25_down",0,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_5_up",0.900844076584,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_10_up",0.72447015382,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_25_up",0.504091459146,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_5_down",1,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_10_down",0.92945738485091,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_25_down",0.51021365070094,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.900844076584,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.673364134572074,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.257194343658044,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_two_5_down",0.933888613618,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_two_10_down",0.508252390395196,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_two_25_down",0.106194307395181,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_three_5_down",0.567142241236,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_three_10_down",0.141574736127949,30
"rta",9,"ipsl-cm6a-lr ssp585","at_least_three_25_down",0.00948607310681897,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_5_up",0.830291212,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_10_up",0.36363,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_25_up",0,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_5_down",1,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_10_down",0.79915480975,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_25_down",0.18181,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_5_up_down",0.830291212,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_10_up_down",0.290596663469393,30
"rta",16,"gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"rta",16,"gfdl-esm4 ssp126","at_least_two_5_down",0.8016682648843,30
"rta",16,"gfdl-esm4 ssp126","at_least_two_10_down",0.38857086775,30
"rta",16,"gfdl-esm4 ssp126","at_least_two_25_down",0.00908999999999993,30
"rta",16,"gfdl-esm4 ssp126","at_least_three_5_down",0.3217660741522,30
"rta",16,"gfdl-esm4 ssp126","at_least_three_10_down",0.0966429257499999,30
"rta",16,"gfdl-esm4 ssp126","at_least_three_25_down",-6.76542155630955e-17,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_5_up",0.82324495,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_10_up",0.653505656,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_25_up",0.49089,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_5_down",1,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_10_down",1,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_25_down",0.877285,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_5_up_down",0.82324495,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_10_up_down",0.653505656,30
"rta",16,"gfdl-esm4 ssp585","at_least_one_25_up_down",0.43065043365,30
"rta",16,"gfdl-esm4 ssp585","at_least_two_5_down",0.98589760878016,30
"rta",16,"gfdl-esm4 ssp585","at_least_two_10_down",0.95768647962976,30
"rta",16,"gfdl-esm4 ssp585","at_least_two_25_down",0.41365,30
"rta",16,"gfdl-esm4 ssp585","at_least_three_5_down",0.86895507826336,30
"rta",16,"gfdl-esm4 ssp585","at_least_three_10_down",0.69144599426776,30
"rta",16,"gfdl-esm4 ssp585","at_least_three_25_down",0.036365,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_5_up",0.45454,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_10_up",0,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_25_up",0,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_5_down",1,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_10_down",0.933892066051235,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_25_down",0.34543,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.45454,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_two_5_down",0.9702532229752,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_two_10_down",0.62297538484564,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_two_25_down",0.0272699999999999,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_three_5_down",0.7595246375776,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_three_10_down",0.203892975391408,30
"rta",16,"ipsl-cm6a-lr ssp126","at_least_three_25_down",-9.71445146547012e-17,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_5_up",0.604012828,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_10_up",0.49089,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_25_up",0.26362,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_5_down",1,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_10_down",1,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_25_down",0.98384226233536,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.604012828,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.49089,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.259360497196848,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_two_5_down",0.999265319887359,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_two_10_down",0.999020471409855,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_two_25_down",0.85268199252256,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_three_5_down",0.983959339012562,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_three_10_down",0.979062283668817,30
"rta",16,"ipsl-cm6a-lr ssp585","at_least_three_25_down",0.51869216148416,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_5_up",0.19190101,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_10_up",0.19190101,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_25_up",0.0909,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_5_down",1,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_10_down",0.9545462125,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_25_down",0.78788788,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_5_up_down",0.19190101,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_10_up_down",0.183178382270425,30
"rta",17,"gfdl-esm4 ssp126","at_least_one_25_up_down",0.071619008292,30
"rta",17,"gfdl-esm4 ssp126","at_least_two_5_down",0.929305050202,30
"rta",17,"gfdl-esm4 ssp126","at_least_two_10_down",0.689392425,30
"rta",17,"gfdl-esm4 ssp126","at_least_two_25_down",0.24241212,30
"rta",17,"gfdl-esm4 ssp126","at_least_three_5_down",0.579152189596,30
"rta",17,"gfdl-esm4 ssp126","at_least_three_10_down",0.2272613625,30
"rta",17,"gfdl-esm4 ssp126","at_least_three_25_down",2.77555756156289e-17,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_5_up",0.515110436734,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_10_up",0.371460605578,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_25_up",0.20985679,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_5_down",1,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_10_down",1,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_25_down",1,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_5_up_down",0.515110436734,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_10_up_down",0.371460605578,30
"rta",17,"gfdl-esm4 ssp585","at_least_one_25_up_down",0.20985679,30
"rta",17,"gfdl-esm4 ssp585","at_least_two_5_down",1,30
"rta",17,"gfdl-esm4 ssp585","at_least_two_10_down",1,30
"rta",17,"gfdl-esm4 ssp585","at_least_two_25_down",0.919207070101,30
"rta",17,"gfdl-esm4 ssp585","at_least_three_5_down",0.986534006734,30
"rta",17,"gfdl-esm4 ssp585","at_least_three_10_down",0.959602020202,30
"rta",17,"gfdl-esm4 ssp585","at_least_three_25_down",0.596667744532,30
"rta",17,"ipsl-cm6a-lr ssp126","at_least_one_5_up",0.0909,30
