"sector","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp585","wheat",-3.30002269259333
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp585","soybean",-23.2762206657202
"agriculture","global","ldndc","ipsl-cm6a-lr","ssp585","rice",-6.07017471751919
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp585","maize",-8.13051039427543
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp585","wheat",6.67383101525233
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp585","soybean",17.5065170432756
"agriculture","global","lpjml","ipsl-cm6a-lr","ssp585","rice",10.8953099754582
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp585","maize",-63.0559784690977
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp585","wheat",-0.12486085251049
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp585","soybean",-21.0008776188416
"agriculture","global","pdssat","ipsl-cm6a-lr","ssp585","rice",-11.6561557296851
"agriculture","global","pepic","ipsl-cm6a-lr","ssp585","maize",-33.6012761934043
"agriculture","global","pepic","ipsl-cm6a-lr","ssp585","wheat",-12.6195261026281
"agriculture","global","pepic","ipsl-cm6a-lr","ssp585","soybean",-23.8611647238316
"agriculture","global","pepic","ipsl-cm6a-lr","ssp585","rice",-21.6416150493439
"agriculture","global","promet","ipsl-cm6a-lr","ssp585","maize",-0.187853451768721
"agriculture","global","promet","ipsl-cm6a-lr","ssp585","wheat",37.1799181282003
"agriculture","global","promet","ipsl-cm6a-lr","ssp585","soybean",32.4096137768283
"agriculture","global","promet","ipsl-cm6a-lr","ssp585","rice",10.9943043242344
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp585","maize",-51.1009888497865
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp585","wheat",17.5034968455381
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp585","soybean",-7.18109250457943
"agriculture","global","simplace-lintul5","ipsl-cm6a-lr","ssp585","rice",NA
"water_global","global","h08","gfdl-esm4","ssp126","ptotww",1.91247221729329
"water_global","global","h08","gfdl-esm4","ssp126","qtot",-0.102284937472038
"water_global","global","h08","gfdl-esm4","ssp126","tws",-6.90320715923994
"water_global","global","h08","gfdl-esm4","ssp585","ptotww",7.01490145799729
"water_global","global","h08","gfdl-esm4","ssp585","qtot",-3.86157996191691
"water_global","global","h08","gfdl-esm4","ssp585","tws",-19.7534679882456
"water_global","global","h08","ipsl-cm6a-lr","ssp126","ptotww",0.228268319176824
"water_global","global","h08","ipsl-cm6a-lr","ssp126","qtot",4.97078629570399
"water_global","global","h08","ipsl-cm6a-lr","ssp126","tws",-4.12301322405695
"water_global","global","h08","ipsl-cm6a-lr","ssp585","ptotww",10.6114861256349
"water_global","global","h08","ipsl-cm6a-lr","ssp585","qtot",10.8297355341033
"water_global","global","h08","ipsl-cm6a-lr","ssp585","tws",-15.4430126712273
"water_global","global","jules-w2","gfdl-esm4","ssp126","qtot",1.42966594805236
"water_global","global","jules-w2","gfdl-esm4","ssp126","tws",-2.03668761076629
"water_global","global","jules-w2","gfdl-esm4","ssp585","qtot",9.40300807543874
"water_global","global","jules-w2","gfdl-esm4","ssp585","tws",-3.66538135832937
"water_global","global","jules-w2","ipsl-cm6a-lr","ssp126","qtot",6.99682782589402
"water_global","global","jules-w2","ipsl-cm6a-lr","ssp126","tws",-4.44072621230323
"water_global","global","jules-w2","ipsl-cm6a-lr","ssp585","qtot",26.7891340006405
"water_global","global","jules-w2","ipsl-cm6a-lr","ssp585","tws",-8.4072706418451
"water_global","global","miroc-integ-land","gfdl-esm4","ssp126","qtot",1.12738857349855
"water_global","global","miroc-integ-land","gfdl-esm4","ssp126","tws",-0.270631965062309
"water_global","global","miroc-integ-land","gfdl-esm4","ssp585","qtot",-0.293559613702421
"water_global","global","miroc-integ-land","gfdl-esm4","ssp585","tws",-0.35300991643243
"water_global","global","miroc-integ-land","ipsl-cm6a-lr","ssp126","qtot",6.4401907566061
"water_global","global","miroc-integ-land","ipsl-cm6a-lr","ssp126","tws",-0.266793272765029
"water_global","global","miroc-integ-land","ipsl-cm6a-lr","ssp585","qtot",17.2710549846733
"water_global","global","miroc-integ-land","ipsl-cm6a-lr","ssp585","tws",-0.330955637698895
"water_global","global","watergap2-2e","gfdl-esm4","ssp126","ptotww",3.21654069788223
"water_global","global","watergap2-2e","gfdl-esm4","ssp126","qtot",0.976539692384223
"water_global","global","watergap2-2e","gfdl-esm4","ssp126","tws",13.6930270112431
"water_global","global","watergap2-2e","gfdl-esm4","ssp585","ptotww",4.21153165372988
"water_global","global","watergap2-2e","gfdl-esm4","ssp585","qtot",1.77899713442396
"water_global","global","watergap2-2e","gfdl-esm4","ssp585","tws",7.82149186456974
"water_global","global","watergap2-2e","ipsl-cm6a-lr","ssp126","ptotww",1.44346055670665
"water_global","global","watergap2-2e","ipsl-cm6a-lr","ssp126","qtot",5.73914169390605
"water_global","global","watergap2-2e","ipsl-cm6a-lr","ssp126","tws",13.5190342323445
"water_global","global","watergap2-2e","ipsl-cm6a-lr","ssp585","ptotww",3.79540995858553
"water_global","global","watergap2-2e","ipsl-cm6a-lr","ssp585","qtot",20.1130589399059
"water_global","global","watergap2-2e","ipsl-cm6a-lr","ssp585","tws",5.19632131926025
"water_global","global","web-dhm-sg","gfdl-esm4","ssp126","tws",-1.97585659932871
"water_global","global","web-dhm-sg","gfdl-esm4","ssp585","tws",-8.81739189056214
"water_global","global","web-dhm-sg","ipsl-cm6a-lr","ssp126","tws",-1.97253028487657
"water_global","global","web-dhm-sg","ipsl-cm6a-lr","ssp585","tws",-13.5862113776191
"marine-fishery_global","global","apecosm","ipsl-cm6a-lr","ssp126","tcb",-3.25711048072217
"marine-fishery_global","global","apecosm","ipsl-cm6a-lr","ssp126","tcblog10",-3.69933173766876
"marine-fishery_global","global","apecosm","ipsl-cm6a-lr","ssp585","tcb",-12.4267340964188
"marine-fishery_global","global","apecosm","ipsl-cm6a-lr","ssp585","tcblog10",-13.0562149897923
"marine-fishery_global","global","boats","gfdl-esm4","ssp126","tcb",-7.60988891631962
"marine-fishery_global","global","boats","gfdl-esm4","ssp126","tcblog10",-7.6098889193328
"marine-fishery_global","global","boats","gfdl-esm4","ssp585","tcb",-21.9913368606036
"marine-fishery_global","global","boats","gfdl-esm4","ssp585","tcblog10",-21.9913368600275
"marine-fishery_global","global","boats","ipsl-cm6a-lr","ssp126","tcb",-5.67069797362964
"marine-fishery_global","global","boats","ipsl-cm6a-lr","ssp126","tcblog10",-5.670697973163
"marine-fishery_global","global","boats","ipsl-cm6a-lr","ssp585","tcb",-21.8867969152722
"marine-fishery_global","global","boats","ipsl-cm6a-lr","ssp585","tcblog10",-21.8867969179603
"marine-fishery_global","global","dbem","gfdl-esm4","ssp126","tcb",-3.13250331270418
"marine-fishery_global","global","dbem","gfdl-esm4","ssp585","tcb",-6.56717650900018
"marine-fishery_global","global","dbem","ipsl-cm6a-lr","ssp126","tcb",0.735102718736497
"marine-fishery_global","global","dbem","ipsl-cm6a-lr","ssp585","tcb",-11.2898225364746
"marine-fishery_global","global","dbpm","ipsl-cm6a-lr","ssp126","tcb",-5.56579366102821
"marine-fishery_global","global","dbpm","ipsl-cm6a-lr","ssp126","tcblog10",-13.624970296754
"marine-fishery_global","global","dbpm","ipsl-cm6a-lr","ssp585","tcb",-11.5939655887122
"marine-fishery_global","global","dbpm","ipsl-cm6a-lr","ssp585","tcblog10",-30.2791895823829
"marine-fishery_global","global","ecoocean","gfdl-esm4","ssp126","tcb",-1.04010440138451
"marine-fishery_global","global","ecoocean","gfdl-esm4","ssp585","tcb",-6.62190845227709
"marine-fishery_global","global","ecoocean","ipsl-cm6a-lr","ssp126","tcb",-3.04196031778224
"marine-fishery_global","global","ecoocean","ipsl-cm6a-lr","ssp585","tcb",-9.00956898971783
"marine-fishery_global","global","ecotroph","gfdl-esm4","ssp126","tcb",-3.15259604479031
"marine-fishery_global","global","ecotroph","gfdl-esm4","ssp126","tcblog10",-3.89961260178307
"marine-fishery_global","global","ecotroph","gfdl-esm4","ssp585","tcb",-15.8696369597426
"marine-fishery_global","global","ecotroph","gfdl-esm4","ssp585","tcblog10",-18.0854675608805
"marine-fishery_global","global","ecotroph","ipsl-cm6a-lr","ssp126","tcb",-3.62000960148926
"marine-fishery_global","global","ecotroph","ipsl-cm6a-lr","ssp126","tcblog10",-5.25893965169879
"marine-fishery_global","global","ecotroph","ipsl-cm6a-lr","ssp585","tcb",-14.2253946833112
"marine-fishery_global","global","ecotroph","ipsl-cm6a-lr","ssp585","tcblog10",-19.7534944105621
"marine-fishery_global","global","feisty","gfdl-esm4","ssp126","tcb",-6.58915028322522
"marine-fishery_global","global","feisty","gfdl-esm4","ssp585","tcb",-21.5675366035408
"marine-fishery_global","global","feisty","ipsl-cm6a-lr","ssp126","tcb",-0.499256446586017
"marine-fishery_global","global","feisty","ipsl-cm6a-lr","ssp585","tcb",-11.270532469684
"marine-fishery_global","global","macroecological","gfdl-esm4","ssp126","tcb",-4.92736584655178
"marine-fishery_global","global","macroecological","gfdl-esm4","ssp126","tcblog10",-4.92736584852874
"marine-fishery_global","global","macroecological","gfdl-esm4","ssp585","tcb",-18.3577954522277
"marine-fishery_global","global","macroecological","gfdl-esm4","ssp585","tcblog10",-18.3577954507732
"marine-fishery_global","global","macroecological","ipsl-cm6a-lr","ssp126","tcb",-6.16500403089106
"marine-fishery_global","global","macroecological","ipsl-cm6a-lr","ssp126","tcblog10",-6.16500403562511
