"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","wheat",4.09967433336637
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","soybean",0.18542396323562
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","rice",0.762658583701414
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","maize",-1.2671898283467
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","wheat",-0.454540871694281
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","soybean",0.215070541017426
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","rice",-2.52746037501894
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","maize",-1.73815620844485
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","wheat",-1.41492931660627
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","soybean",0.809797973696781
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","rice",-2.46576862021376
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","maize",0.442774290803452
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","wheat",3.62789164746947
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","soybean",4.79689728869795
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","rice",1.71119807971962
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","maize",1.82381870053556
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","wheat",-0.198433998723374
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","soybean",5.5082642296657
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","rice",1.10463470243961
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","maize",2.19180046394161
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","wheat",3.69592079053345
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","soybean",7.20520761721309
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","rice",-2.69476065819873
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","maize",-3.23302524253348
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","wheat",0.808310814464962
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","soybean",-0.318996988611629
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","rice",-4.15764458255683
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","maize",0.0572722045158937
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","wheat",0.937713153642477
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","soybean",7.78285654044304
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","rice",1.37816819752107
"agriculture",2023,"global","crover","gfdl-esm4","ssp126","maize",-3.09530033867059
"agriculture",2023,"global","crover","gfdl-esm4","ssp126","wheat",0.556121374483431
"agriculture",2023,"global","crover","gfdl-esm4","ssp126","soybean",-0.435613713823409
"agriculture",2023,"global","crover","gfdl-esm4","ssp126","rice",-1.16731971875788
"agriculture",2024,"global","crover","gfdl-esm4","ssp126","maize",-2.22945597490311
"agriculture",2024,"global","crover","gfdl-esm4","ssp126","wheat",0.256142406690709
"agriculture",2024,"global","crover","gfdl-esm4","ssp126","soybean",4.97690936276627
"agriculture",2024,"global","crover","gfdl-esm4","ssp126","rice",1.15917912596436
"agriculture",2025,"global","crover","gfdl-esm4","ssp126","maize",-5.36659834046974
"agriculture",2025,"global","crover","gfdl-esm4","ssp126","wheat",1.01455001035421
"agriculture",2025,"global","crover","gfdl-esm4","ssp126","soybean",-5.7743434326483
"agriculture",2025,"global","crover","gfdl-esm4","ssp126","rice",-4.4612273093056
"agriculture",2026,"global","crover","gfdl-esm4","ssp126","maize",-3.76836153845386
"agriculture",2026,"global","crover","gfdl-esm4","ssp126","wheat",-0.84235382394365
"agriculture",2026,"global","crover","gfdl-esm4","ssp126","soybean",6.37400732995576
"agriculture",2026,"global","crover","gfdl-esm4","ssp126","rice",1.37897713895536
"agriculture",2027,"global","crover","gfdl-esm4","ssp126","maize",-0.653605671885417
"agriculture",2027,"global","crover","gfdl-esm4","ssp126","wheat",6.07817979670939
"agriculture",2027,"global","crover","gfdl-esm4","ssp126","soybean",9.19516942242009
"agriculture",2027,"global","crover","gfdl-esm4","ssp126","rice",2.52170930682674
"agriculture",2028,"global","crover","gfdl-esm4","ssp126","maize",2.34663658509381
"agriculture",2028,"global","crover","gfdl-esm4","ssp126","wheat",5.4607205819435
"agriculture",2028,"global","crover","gfdl-esm4","ssp126","soybean",12.5920100149726
"agriculture",2028,"global","crover","gfdl-esm4","ssp126","rice",3.85926725032607
"agriculture",2029,"global","crover","gfdl-esm4","ssp126","maize",-0.494494930644209
"agriculture",2029,"global","crover","gfdl-esm4","ssp126","wheat",2.22350559642466
"agriculture",2029,"global","crover","gfdl-esm4","ssp126","soybean",10.7235621802917
"agriculture",2029,"global","crover","gfdl-esm4","ssp126","rice",-1.30380865054239
"agriculture",2030,"global","crover","gfdl-esm4","ssp126","maize",-0.931298032694027
"agriculture",2030,"global","crover","gfdl-esm4","ssp126","wheat",5.26112300156203
"agriculture",2030,"global","crover","gfdl-esm4","ssp126","soybean",7.56102074386114
"agriculture",2030,"global","crover","gfdl-esm4","ssp126","rice",1.14356546408605
"agriculture",2031,"global","crover","gfdl-esm4","ssp126","maize",-0.272521283585314
"agriculture",2031,"global","crover","gfdl-esm4","ssp126","wheat",4.54518565605025
"agriculture",2031,"global","crover","gfdl-esm4","ssp126","soybean",11.8247630268118
"agriculture",2031,"global","crover","gfdl-esm4","ssp126","rice",0.978854758851288
"agriculture",2032,"global","crover","gfdl-esm4","ssp126","maize",-0.412940585591129
"agriculture",2032,"global","crover","gfdl-esm4","ssp126","wheat",5.12759523396984
"agriculture",2032,"global","crover","gfdl-esm4","ssp126","soybean",13.3969858183234
"agriculture",2032,"global","crover","gfdl-esm4","ssp126","rice",7.53981098860899
"agriculture",2033,"global","crover","gfdl-esm4","ssp126","maize",-0.695267593939641
"agriculture",2033,"global","crover","gfdl-esm4","ssp126","wheat",11.0613053958517
"agriculture",2033,"global","crover","gfdl-esm4","ssp126","soybean",6.58053162744988
"agriculture",2033,"global","crover","gfdl-esm4","ssp126","rice",2.04726598540918
"agriculture",2034,"global","crover","gfdl-esm4","ssp126","maize",0.00374605257420318
"agriculture",2034,"global","crover","gfdl-esm4","ssp126","wheat",7.29281104553165
"agriculture",2034,"global","crover","gfdl-esm4","ssp126","soybean",14.2797495798053
"agriculture",2034,"global","crover","gfdl-esm4","ssp126","rice",5.51434717304742
"agriculture",2035,"global","crover","gfdl-esm4","ssp126","maize",2.04396838908106
"agriculture",2035,"global","crover","gfdl-esm4","ssp126","wheat",11.2956374956978
"agriculture",2035,"global","crover","gfdl-esm4","ssp126","soybean",14.1507814782533
"agriculture",2035,"global","crover","gfdl-esm4","ssp126","rice",3.99184629849406
"agriculture",2036,"global","crover","gfdl-esm4","ssp126","maize",0.588247618234903
"agriculture",2036,"global","crover","gfdl-esm4","ssp126","wheat",10.9947851964639
"agriculture",2036,"global","crover","gfdl-esm4","ssp126","soybean",13.441596524861
