"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","rice",-3.66947068081259
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","maize",0.96921418140438
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","wheat",-2.28874956979258
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","soybean",0.229626282302216
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","rice",1.66873789603615
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","maize",0.696043154257923
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","wheat",-1.07312599491066
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","soybean",-2.70293733226738
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","rice",0.598805163513729
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","maize",0.991716608825934
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","wheat",-0.93171165509103
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","soybean",-5.85662212890175
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","rice",-1.89388587526128
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","maize",-2.17076463158127
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","wheat",-4.35705972809597
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","soybean",-2.00093900664146
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","rice",0.324907786147541
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","maize",0.248609822053111
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","wheat",2.6350629343099
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","soybean",-1.28029108432269
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","rice",0.0132078764487906
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","maize",0.178939932265301
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","wheat",4.07199696661823
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","soybean",0.0610185779763662
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","rice",0.472837036291486
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","maize",-1.27681661219977
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","wheat",-0.097524969505782
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","soybean",-0.126327265626065
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","rice",-2.54718999418823
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","maize",-1.61783172795147
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","wheat",-1.72940125620585
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","soybean",1.26545353920609
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","rice",-2.23430639717867
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","maize",0.190158238256173
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","wheat",3.71910965605251
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","soybean",5.03179741896169
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","rice",2.34163503351322
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","maize",1.79073103466974
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","wheat",0.0514036166212618
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","soybean",5.37922099931296
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","rice",1.25525147467726
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","maize",2.12569243387491
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","wheat",3.28031202926804
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","soybean",7.06045298765737
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","rice",-2.82328640944003
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","maize",-3.40791707117601
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","wheat",-0.130943444095832
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","soybean",-0.133965329704373
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","rice",-3.88207081619121
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","maize",0.00876998686429088
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","wheat",0.71453160113813
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","soybean",7.9485238276888
"agriculture",2022,"global","crover","gfdl-esm4","ssp126","rice",1.73028882795487
"agriculture",2023,"global","crover","gfdl-esm4","ssp126","maize",-3.16127172753861
"agriculture",2023,"global","crover","gfdl-esm4","ssp126","wheat",0.853578152987549
