"regions","spatial_scale","climates","type","probas","time_window"
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.832971219976138,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.668628263230332,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.204074871179,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.518911783502308,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.113262579726288,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.54336157,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.0764378099999999,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.18386343,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_three_10_down",0.00413140499999994,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.82645372,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.73555372,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.30415961667825,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.8677586775,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.851230785,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.4659,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.371867355,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.31608657,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.068175,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.504091459146,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.226531563812077,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0.00826281,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.53714628,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.42764814,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",-1.38777878078145e-17,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.09915372,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.0743652899999999,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",-1.38777878078145e-17,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.79749752,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.603262257438,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.208537113242096,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.6281281,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.47929752,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.19626219,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.0991719,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.0661024799999999,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.0123942149999999,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.6913766975,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.38889513875,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0.05555,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.43055,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.1041625,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.0416625,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_three_10_down",0.00694375000000004,30
"Alhucemas Islands","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.8889,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.8889,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.48615,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_two_5_down",1,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.75,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.375,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_three_5_down",0,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_three_10_down",0,30
"Alhucemas Islands","regions","gfdl-esm4 ssp585","at_least_three_25_down",0,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.83335,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.4691413578395,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0.05555,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.33335,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.16665,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",5.55111512312578e-17,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",-2.77555756156289e-17,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",0,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",1,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",1,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.48144074,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.5556,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.4444,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0,30
"Alhucemas Islands","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_two_5_down",1,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.5,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"American Samoa","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
