"regions","climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
145,"gfdl-esm4 ssp585",0.998238010929803,0.263931960726567,0.00206570249999971,30
145,"ipsl-cm6a-lr ssp126",1,0.267379134690957,0,30
145,"ipsl-cm6a-lr ssp585",1,0.836778628701254,0.14875785,30
146,"gfdl-esm4 ssp126",0.982003582372419,0.171619586872332,0,30
146,"gfdl-esm4 ssp585",0.996365281564221,0.147519384624605,0,30
146,"ipsl-cm6a-lr ssp126",0.99446068162869,0.403270827013293,0.022522389639562,30
146,"ipsl-cm6a-lr ssp585",1,0.143001156120181,-4.44089209850063e-16,30
147,"gfdl-esm4 ssp126",1,0.579128776705822,0.0349889286954447,30
147,"gfdl-esm4 ssp585",1,0.157024060749431,-4.44089209850063e-16,30
147,"ipsl-cm6a-lr ssp126",1,0.12400354823366,0,30
147,"ipsl-cm6a-lr ssp585",1,0.255290004461167,-2.22044604925031e-16,30
149,"gfdl-esm4 ssp126",0.925595373447221,0.04545,0,30
149,"gfdl-esm4 ssp585",0.900233859213936,0.116362,0,30
149,"ipsl-cm6a-lr ssp126",0.914629104763822,0,0,30
149,"ipsl-cm6a-lr ssp585",1,0.3333,0,30
151,"gfdl-esm4 ssp126",0.971612530026151,0.157009752,0,30
151,"gfdl-esm4 ssp585",1,0.753334663647133,0.0210719834999999,30
151,"ipsl-cm6a-lr ssp126",1,0.636144124586599,-2.22044604925031e-16,30
151,"ipsl-cm6a-lr ssp585",1,0.418331866120624,0.00961910587518677,30
152,"gfdl-esm4 ssp126",0.994285724680747,0.0628037189999999,0,30
152,"gfdl-esm4 ssp585",1,0.1,0,30
152,"ipsl-cm6a-lr ssp126",1,0.132724,1.11022302462516e-16,30
152,"ipsl-cm6a-lr ssp585",1,0.226424628,1.11022302462516e-16,30
188,"gfdl-esm4 ssp126",1,0.0880438769135999,0,30
188,"gfdl-esm4 ssp585",1,0.00826280999999995,0,30
188,"ipsl-cm6a-lr ssp126",1,0.331540351392713,0.0232896772728401,30
188,"ipsl-cm6a-lr ssp585",1,0.544833583238406,0.00661024799999999,30
579,"gfdl-esm4 ssp126",0.99922240550799,0.341788340724502,0.0197080764017592,30
579,"gfdl-esm4 ssp585",0.999949147766245,0.434276755414851,1.11022302462516e-16,30
579,"ipsl-cm6a-lr ssp126",0.999934566604038,0.475612127687242,0.0242375759999999,30
579,"ipsl-cm6a-lr ssp585",1,0.422062779481237,0.0359816807137483,30
582,"gfdl-esm4 ssp126",1,0,NA,30
582,"gfdl-esm4 ssp585",1,0,NA,30
582,"ipsl-cm6a-lr ssp126",1,0,NA,30
582,"ipsl-cm6a-lr ssp585",1,0.10002,NA,30
583,"gfdl-esm4 ssp126",0.998347731410976,0.293070893799891,0.00413140499999998,30
583,"gfdl-esm4 ssp585",0.999592063826177,0.285803324665611,0.00701314739563497,30
583,"ipsl-cm6a-lr ssp126",0.999304784997496,0.33210662039308,-6.66133814775094e-16,30
583,"ipsl-cm6a-lr ssp585",0.997943003401669,0.33130888847625,0.022801250828249,30
620,"gfdl-esm4 ssp126",1,0.147355598123709,0.00206570249999993,30
620,"gfdl-esm4 ssp585",1,0.38424184785164,-2.22044604925031e-16,30
