"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
"Australia","ipsl-cm6a-lr ssp585",0.141097373330434,0.00225326828699968,30,0.70342092698083,0.995298500697733,0.994484746653204
"Austria","gfdl-esm4 ssp126",0.617054770834804,0.0920017918617793,30,0.14906656542651,0.7756468895389,1
"Austria","gfdl-esm4 ssp585",0.171139375552549,0,30,0.278400977654983,0.857183694611075,1
"Austria","ipsl-cm6a-lr ssp126",0.570385923081739,0.0198307439999998,30,0.0984117205709999,0.626753974434075,1
"Austria","ipsl-cm6a-lr ssp585",0.21699037500323,1.11022302462516e-16,30,0.303783921961795,0.970090356368362,1
"Azerbaijan","gfdl-esm4 ssp126",0.0836889527418523,0.00300435771599994,30,0.136711621852551,0.951123120741592,0.921793888734661
"Azerbaijan","gfdl-esm4 ssp585",0.0879805677718996,0,30,0.190016242549027,0.933345175880257,0.961757046315271
"Azerbaijan","ipsl-cm6a-lr ssp126",0.346266626139434,0.0213759702328715,30,0.243007418511647,0.958268120766647,0.994637872753115
"Azerbaijan","ipsl-cm6a-lr ssp585",0.344617426618264,0.00165256199999975,30,0.711962660100151,0.992020370398169,0.999770197262176
"Bahamas","gfdl-esm4 ssp126",0.0695142117298552,0,30,0.304727880735616,0.89502615904096,1
"Bahamas","gfdl-esm4 ssp585",0.0656335766873842,-2.22044604925031e-16,30,0.4,1,0.926716501940402
"Bahamas","ipsl-cm6a-lr ssp126",0.0232906333921855,0,30,0.167914405414318,0.87803787288141,1
"Bahamas","ipsl-cm6a-lr ssp585",0.0164573459709038,0,30,0.11735027327634,0.919017157260946,0.872532377795394
"Bahrain","gfdl-esm4 ssp126",0,0,30,0,0.25,0.488
"Bahrain","gfdl-esm4 ssp585",0,0,30,0,1,1
