"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Benin","gfdl-esm4 ssp585","shock_0.25",1,0.667839812808011,0.0302418717445563,30
"Benin","ipsl-cm6a-lr ssp126","shock_0.25",1,0.342629416926309,0.00403959599999992,30
"Benin","ipsl-cm6a-lr ssp585","shock_0.25",1,0.74114004978056,0.0991233224277382,30
"Bhutan","gfdl-esm4 ssp126","shock_0.25",1,0.992901355412284,0.786580624286685,30
"Bhutan","gfdl-esm4 ssp585","shock_0.25",1,0.905231381896259,0.229713895356567,30
"Bhutan","ipsl-cm6a-lr ssp126","shock_0.25",1,0.20883030900862,0.00760149666823895,30
"Bhutan","ipsl-cm6a-lr ssp585","shock_0.25",1,0.931376337474713,0.225384051685843,30
"Bolivia","gfdl-esm4 ssp126","shock_0.25",1,0.948846304351375,0.492098950708505,30
"Bolivia","gfdl-esm4 ssp585","shock_0.25",0.999999999986046,0.999921755139393,0.980087695563809,30
"Bolivia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.899643770496804,0.2560336289597,30
"Bolivia","ipsl-cm6a-lr ssp585","shock_0.25",0.999999976577906,0.987243628028085,0.566860956570759,30
"Bosnia and Herzegovina","gfdl-esm4 ssp126","shock_0.25",0.998986107330566,0.356815662496761,0.00727199999999995,30
"Bosnia and Herzegovina","gfdl-esm4 ssp585","shock_0.25",0.999319660120729,0.548710816990228,0.0271047437999998,30
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp126","shock_0.25",0.995834939962484,0.225396987635548,0.00696288601085371,30
"Bosnia and Herzegovina","ipsl-cm6a-lr ssp585","shock_0.25",0.999996613803277,0.856569517990097,0.14035165385697,30
"Botswana","gfdl-esm4 ssp126","shock_0.25",0.999901729501204,0.718820485826863,0.0970834134071754,30
"Botswana","gfdl-esm4 ssp585","shock_0.25",0.999558585292771,0.744129398581308,0.171904536950527,30
"Botswana","ipsl-cm6a-lr ssp126","shock_0.25",0.985427499490778,0.376467505272823,0.0250463480323005,30
"Botswana","ipsl-cm6a-lr ssp585","shock_0.25",0.993448024623459,0.378592537157891,0.038043093340742,30
"Brazil","gfdl-esm4 ssp126","shock_0.25",1,0.372198910124647,0.000826280999999929,30
"Brazil","gfdl-esm4 ssp585","shock_0.25",0.99999875262328,0.848557896843103,0.180526751507069,30
"Brazil","ipsl-cm6a-lr ssp126","shock_0.25",1,0.777250681199751,0.121386071917358,30
"Brazil","ipsl-cm6a-lr ssp585","shock_0.25",1,0.994624133298269,0.407891053831033,30
"Brunei","gfdl-esm4 ssp126","shock_0.25",1,0.1111,0,30
"Brunei","gfdl-esm4 ssp585","shock_0.25",0.982034165128705,0.05555,0,30
"Brunei","ipsl-cm6a-lr ssp126","shock_0.25",1,0.0185203700000001,0,30
"Brunei","ipsl-cm6a-lr ssp585","shock_0.25",1,0,0,30
"Bulgaria","gfdl-esm4 ssp126","shock_0.25",0.999999467152744,0.940730091121762,0.328214812932776,30
"Bulgaria","gfdl-esm4 ssp585","shock_0.25",0.99998454549757,0.84325847727749,0.144933311445232,30
"Bulgaria","ipsl-cm6a-lr ssp126","shock_0.25",0.998766676040692,0.428399686189091,0.0196037262451426,30
"Bulgaria","ipsl-cm6a-lr ssp585","shock_0.25",0.999983261684397,0.786628525356148,0.155344839314344,30
"Burkina Faso","gfdl-esm4 ssp126","shock_0.25",1,0.0500869916039194,0,30
"Burkina Faso","gfdl-esm4 ssp585","shock_0.25",1,0.0694690548117587,0,30
"Burkina Faso","ipsl-cm6a-lr ssp126","shock_0.25",1,0.374902481000595,0,30
"Burkina Faso","ipsl-cm6a-lr ssp585","shock_0.25",1,0.525036275238457,0.00807919200000007,30
"Burundi","gfdl-esm4 ssp126","shock_0.25",0.999848015168025,0.730747499365567,0.154971596210958,30
"Burundi","gfdl-esm4 ssp585","shock_0.25",0.999627745103114,0.700308937159415,0.161116202948115,30
"Burundi","ipsl-cm6a-lr ssp126","shock_0.25",0.991070010758109,0.24997264042288,0.0106693094305956,30
"Burundi","ipsl-cm6a-lr ssp585","shock_0.25",1,0.778940020054604,0.15257618521709,30
"Cambodia","gfdl-esm4 ssp126","shock_0.25",1,0.815364010820595,0.0941945674097736,30
"Cambodia","gfdl-esm4 ssp585","shock_0.25",1,0.828264727330521,0.0996612402388866,30
"Cambodia","ipsl-cm6a-lr ssp126","shock_0.25",0.999008403061056,0.280044280317166,0.00790020877811426,30
"Cambodia","ipsl-cm6a-lr ssp585","shock_0.25",1,0.800593700558699,0.113663608547678,30
"Cameroon","gfdl-esm4 ssp126","shock_0.25",0.999216237685184,0.371571057694694,0.0367626668,30
"Cameroon","gfdl-esm4 ssp585","shock_0.25",0.99952813659613,0.699191491785886,0.101791271810086,30
