"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Mauritius","ipsl-cm6a-lr ssp126","0.75",0.22221111,NA,30,0,0,0.876548149074068,0,NA
"Mauritius","ipsl-cm6a-lr ssp585","0.75",0,NA,30,0,0,1,0,NA
"Mexico","gfdl-esm4 ssp126","0.75",0.306683584206066,0.0456544893939369,30,0.159119032002495,0.977243496943424,0.924878212048936,0.342718635226142,0.0254310562763996
"Mexico","gfdl-esm4 ssp585","0.75",0.308502291154622,0.0221769821603918,30,0.037914589997372,0.990591109844135,0.969961037045953,0.727893113653619,0.332856812808
"Mexico","ipsl-cm6a-lr ssp126","0.75",0.625693699519122,0.0975129805105596,30,0.420446335242478,0.991007084224628,0.997906017713504,0.744377541824462,0.251326693200184
"Mexico","ipsl-cm6a-lr ssp585","0.75",0.458911999264421,0.0608634848797514,30,0.277463498912,0.945467709130974,1,0.144881175399372,0.00806695324811757
"Micronesia","gfdl-esm4 ssp126","0.75",0,NA,30,0,0,1,0,NA
"Micronesia","gfdl-esm4 ssp585","0.75",0,NA,30,0,0,1,0,NA
"Micronesia","ipsl-cm6a-lr ssp126","0.75",0,NA,30,0,0.3333,1,0,NA
"Micronesia","ipsl-cm6a-lr ssp585","0.75",0,NA,30,0,0,0.97802822265625,0,NA
"Moldova","gfdl-esm4 ssp126","0.75",0.707305790392154,0.063318687537123,30,0.0476352,0.792949627756562,0.999349588523472,0.0596910908999999,0
"Moldova","gfdl-esm4 ssp585","0.75",0.186455749022369,0.00786555674746969,30,0.401953708251598,0.937006787681242,1,0.0455888780620692,0
"Moldova","ipsl-cm6a-lr ssp126","0.75",0.0271047437999999,0,30,0.110904,0.704765302228,0.64862272771696,0.10908,0
"Moldova","ipsl-cm6a-lr ssp585","0.75",0.197586628135436,0.00181799999999988,30,0.454463802789419,0.91653952459671,1,0.0880535171707998,0.00272699999999992
"Monaco","gfdl-esm4 ssp126","0.75",0.152713214617687,0.00454499999999991,30,0.20496022376,0.994280619387022,0.987150685330974,0,0
"Monaco","gfdl-esm4 ssp585","0.75",0.0831560621439997,-2.22044604925031e-16,30,0.098125,0.844024864144281,0.896349351169331,0.04545,0
"Monaco","ipsl-cm6a-lr ssp126","0.75",0.1521348703392,0.00181799999999999,30,0.0586817909199999,0.810202048459052,0.982068591655011,0.03636,0
"Monaco","ipsl-cm6a-lr ssp585","0.75",0.308505826972147,0,30,0.595622081983935,0.933180957428562,1,0.0421170302999998,0
"Mongolia","gfdl-esm4 ssp126","0.75",0.263434990190202,0.0242381476928247,30,0.136823361439082,0.830516783196432,0.981842302681401,0,0
"Mongolia","gfdl-esm4 ssp585","0.75",0.0381592661485725,0,30,0.161451387797395,0.939192129485344,1,0.0700606889179688,1.11022302462516e-16
"Mongolia","ipsl-cm6a-lr ssp126","0.75",0.186575706750008,0.00906934297499984,30,0.0779983698331511,0.806761308220809,0.967826648268502,0.046824206867114,0
"Mongolia","ipsl-cm6a-lr ssp585","0.75",0.22338567055748,0.0277652231999999,30,0.161526591835248,0.949200575268374,0.970944885910032,0.0424852997747183,0
"Montenegro","gfdl-esm4 ssp126","0.75",0.401293764562331,0.0909946,30,0.257983191150755,0.864477813949915,0.996158730314203,0.104567227335499,0.000908999999999827
"Montenegro","gfdl-esm4 ssp585","0.75",0.0189990999999998,0,30,0.199975358069596,0.991511990688783,0.904122253550305,0.364526641002958,0
"Montenegro","ipsl-cm6a-lr ssp126","0.75",0.221924257432547,0,30,0.0822384443999999,0.952076975485523,0.978044706288586,0.2680728264,0
"Montenegro","ipsl-cm6a-lr ssp585","0.75",0.171702774237157,0,30,0.244491478849374,0.994575314586284,0.988911863915985,0.445725328416674,0.0332912064765365
"Morocco","gfdl-esm4 ssp126","0.75",0.302794420141581,0.025707988944,30,0.186936988845539,0.991384914251925,0.97484159626866,0.538932396608902,0.0587136531339683
"Morocco","gfdl-esm4 ssp585","0.75",0.388061726059115,0.000917998190999914,30,0.704714933817103,0.998492614642564,1,0.346273538479429,0.00504949499999963
"Morocco","ipsl-cm6a-lr ssp126","0.75",0.52826499258899,0.0440765837189999,30,0.271778652749703,0.996446384580198,0.989107708729915,0.170753411612121,0
"Morocco","ipsl-cm6a-lr ssp585","0.75",0.236334629908024,0.0220319565839998,30,0.374056031841526,0.999022856045526,0.990306644974835,0.335379461708643,0.00183599638199983
"Mozambique","gfdl-esm4 ssp126","0.75",0.163187124045116,0.00330239303883595,30,0.15564714784647,0.996963843191192,0.986096215758469,0.381032512841911,0.012769433002997
"Mozambique","gfdl-esm4 ssp585","0.75",0.742580421860885,0.132553436059774,30,0.714853456372737,0.98502783175842,1,0.302697623269212,0.0281213475122999
"Mozambique","ipsl-cm6a-lr ssp126","0.75",0.37366949005819,0.04434133313032,30,0.3834029989363,0.9898910689197,0.989560150661157,0.137576151472313,0
"Mozambique","ipsl-cm6a-lr ssp585","0.75",0.589366266809445,0.0868634381114787,30,0.518219239687251,0.956448287049373,1,0.112523031563023,0.00369989929976855
"Myanmar","gfdl-esm4 ssp126","0.75",0.623340855577567,0.0799004657894333,30,0.95125962341763,0.994684451388196,1,0.668112976294957,0.2521724333664
"Myanmar","gfdl-esm4 ssp585","0.75",0.116621982607141,0,30,0.0966746640106155,0.840038416312237,0.941938009524544,0.06059394,0
"Myanmar","ipsl-cm6a-lr ssp126","0.75",0.314101394025131,0,30,0.239342381367066,0.998935564858727,1,0.521957654364356,0.0545445449999998
"Myanmar","ipsl-cm6a-lr ssp585","0.75",0.556811498476102,0.12229686,30,0.206186327015939,0.996354249514901,1,0.509201743745061,0.0621199737822343
"Namibia","gfdl-esm4 ssp126","0.75",0,0,30,0.300815372,0.902206149639107,0.854544,0,0
"Namibia","gfdl-esm4 ssp585","0.75",0,0,30,0.322895331103249,0.950113576318401,0.9163206404875,0,0
"Namibia","ipsl-cm6a-lr ssp126","0.75",0,0,30,0.07272,0.380170110854,0.545468182,0,0
"Namibia","ipsl-cm6a-lr ssp585","0.75",0.13332,0,30,0.511334804072242,0.811840665182649,1,0,0
"Nauru","gfdl-esm4 ssp126","0.75",0.500025,NA,30,0,0.8125,1,0,NA
"Nauru","gfdl-esm4 ssp585","0.75",0,NA,30,0,0.578125,1,0,NA
"Nauru","ipsl-cm6a-lr ssp126","0.75",0.11108889,NA,30,0,0.1667,0.828527092884108,0,NA
"Nauru","ipsl-cm6a-lr ssp585","0.75",0.30561111,NA,30,0,0.537050927037,1,0,NA
"Nepal","gfdl-esm4 ssp126","0.75",0.461388375900891,0.0100989899999999,30,0.483050451225807,0.871299617960328,1,0.14326772322587,0.00897907388244301
"Nepal","gfdl-esm4 ssp585","0.75",0.810823385265383,0.15186942701521,30,0.120076992211,0.674921761319528,1,0.0222199999999999,0
"Nepal","ipsl-cm6a-lr ssp126","0.75",0.40757958517495,0.0167711735381194,30,0.427506967371393,0.888578757332549,1,0.0528778700431866,0.00183599638199994
"Nepal","ipsl-cm6a-lr ssp585","0.75",0.937124545710049,0.269293855015227,30,0.301334808705189,0.97994014514769,1,0.418220503748796,0.0289206432308918
"Netherlands","gfdl-esm4 ssp126","0.75",0.101740085,1.11022302462516e-16,30,0.179530087276,0.790419894480657,0.996008606002707,0.00908999999999993,0
"Netherlands","gfdl-esm4 ssp585","0.75",0.1447344,0,30,0.171121173058634,0.932380526243187,0.993590540499094,0.0249999999999999,0
"Netherlands","ipsl-cm6a-lr ssp126","0.75",0,0,30,0.00909000000000004,0.571561679296,1,0,0
"Netherlands","ipsl-cm6a-lr ssp585","0.75",0.13968613324,0.00666799999999979,30,0.129997,0.87450261148211,1,0.01667,0
"New Zealand","gfdl-esm4 ssp126","0.75",0.137497240337808,0,30,0.551613984363991,0.930427726087723,0.968068097031377,0,0
"New Zealand","gfdl-esm4 ssp585","0.75",0.129431031422921,0,30,0.0984117205709999,0.575864211315074,1,0.00826280999999995,0
"New Zealand","ipsl-cm6a-lr ssp126","0.75",0.550789570335715,0.0561925620000001,30,0.228342474439642,0.843832065320616,1,0.0473683573892592,0
"New Zealand","ipsl-cm6a-lr ssp585","0.75",0.118242496769342,0,30,0.157950635792033,0.803646729817883,1,0.00826280999999995,0
