"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
838,"ipsl-cm6a-lr ssp585","0.5",0.637993716068523,0.101918201779945,30,0.151895982263599,0.912977416022025,0.999594550763677
857,"gfdl-esm4 ssp126","0.5",0.184926298590521,0.0127461033398322,30,0.0737764660231177,0.987211506016535,0.994942196907975
857,"gfdl-esm4 ssp585","0.5",0.717069158818003,0.113365883147,30,0.174495065636797,0.962216078065537,0.999336831075748
857,"ipsl-cm6a-lr ssp126","0.5",0.191084336927771,0.00980862642831548,30,0.171147045337158,0.969390116740287,0.994472157643297
857,"ipsl-cm6a-lr ssp585","0.5",0.294839982440254,0.026718156043831,30,0.293391754558261,0.987397705506249,0.983744741433387
863,"gfdl-esm4 ssp126","0.5",0.558684250571554,0.18383707,30,0.644007572366704,0.925103918561757,1
863,"gfdl-esm4 ssp585","0.5",0.607290145552018,0.0643887609623517,30,0.0200990101,0.968883833682333,1
863,"ipsl-cm6a-lr ssp126","0.5",0.744360648258553,0.0685895260429736,30,0.11365606,0.980577530257565,1
863,"ipsl-cm6a-lr ssp585","0.5",0.736064936781687,0.0644785313083248,30,0.0280944905417819,0.957002044801031,1
869,"gfdl-esm4 ssp126","0.5",0.603206064215396,0.109069092,30,0.107790165924244,0.948519275280938,0.999771560464919
869,"gfdl-esm4 ssp585","0.5",0.538657371326511,0.136613811798,30,0.243650560475346,1,0.990381595830198
869,"ipsl-cm6a-lr ssp126","0.5",0.518147414162431,0.0506286105439542,30,0.285033967456089,0.846720177327179,0.998980984730821
869,"ipsl-cm6a-lr ssp585","0.5",0.880121898389113,0.277959901944132,30,0.381538709824985,0.999999914119793,0.999950413072664
878,"gfdl-esm4 ssp126","0.5",0.275710919629406,0.0100826716641568,30,0.205255276345821,0.727068039313611,1
878,"gfdl-esm4 ssp585","0.5",0.957018483817363,0.478929787959742,30,0.1377282000955,0.947636488984172,1
878,"ipsl-cm6a-lr ssp126","0.5",0.917935622817886,0.326047468484606,30,0.384443751090268,0.807646153834962,1
878,"ipsl-cm6a-lr ssp585","0.5",0.79130952417994,0.16522990314164,30,0.872235406956205,0.997383920909308,1
889,"gfdl-esm4 ssp126","0.5",0.719987473020382,0.154603972785797,30,0.310717428480537,0.936167246134078,0.998494693338004
889,"gfdl-esm4 ssp585","0.5",0.66550344117759,0.100071993608819,30,0.554368891231934,0.9993452815172,1
889,"ipsl-cm6a-lr ssp126","0.5",0.710932312556655,0.1921105856,30,0.462397018556972,0.995310426450077,1
889,"ipsl-cm6a-lr ssp585","0.5",0.406937972160921,0.0148227713084446,30,0.34323410948902,0.973294249520029,0.999863102551262
901,"gfdl-esm4 ssp126","0.5",0.443015728584754,0.0099996535874437,30,0.280122145310419,0.999142729036857,1
901,"gfdl-esm4 ssp585","0.5",0.457419729499134,0.0359065817853741,30,0.192014949688973,0.882723275416617,0.99615710087332
901,"ipsl-cm6a-lr ssp126","0.5",0.519557831798049,0.0331568199911593,30,0.128146656695176,0.894435911649969,0.999967900640291
901,"ipsl-cm6a-lr ssp585","0.5",0.457117712917556,0.0271938404887054,30,0.334602816884711,0.944349593352059,1
909,"gfdl-esm4 ssp126","0.5",0.225342502394926,0.0127461033398322,30,0.0708441405546091,0.985647239880466,0.974454894236855
909,"gfdl-esm4 ssp585","0.5",0.726215796298356,0.109051743289115,30,0.419806180651334,0.958438101491076,1
909,"ipsl-cm6a-lr ssp126","0.5",0.376480210885112,0.0369739637774863,30,0.0868623524674303,0.963266670755175,0.996178849677135
909,"ipsl-cm6a-lr ssp585","0.5",0.333733606552917,0.0249690201714572,30,0.274913057957342,0.982134754569328,1
910,"gfdl-esm4 ssp126","0.5",0.184926298590521,0.0127461033398322,30,0.0368090009136,0.987211506016535,0.991008212689246
910,"gfdl-esm4 ssp585","0.5",0.962346025150769,0.601170985085115,30,0.173032730655871,0.962216078065537,1
910,"ipsl-cm6a-lr ssp126","0.5",0.383503396768428,0.00980862642831548,30,0.306404770863632,0.977043735368447,1
910,"ipsl-cm6a-lr ssp585","0.5",0.450893003660956,0.026919586591915,30,0.084448465260249,0.981851244057561,0.99730301617538
922,"gfdl-esm4 ssp126","0.5",0.225342502394926,0.0127461033398322,30,0.17354260023812,0.991926572432762,1
922,"gfdl-esm4 ssp585","0.5",0.695795329220396,0.109051743289115,30,0.102335491359275,0.958438101491076,0.998273040287429
922,"ipsl-cm6a-lr ssp126","0.5",0.508581289277166,0.00980862642831548,30,0.0853237998621124,0.963266670755175,0.998777182984003
922,"ipsl-cm6a-lr ssp585","0.5",0.237258478430768,0.0107332032637163,30,0.807300416004501,0.982134754569328,1
948,"gfdl-esm4 ssp126","0.5",0.513323888920368,0.0633570876790625,30,0.258345284573349,0.990007443929575,0.997146230603125
948,"gfdl-esm4 ssp585","0.5",0.746904413303167,0.132100215542099,30,0.624433657570844,0.998891027651993,0.999917344676686
948,"ipsl-cm6a-lr ssp126","0.5",0.193503041935919,0.0109079999999999,30,0.13803198868279,0.880720649366436,1
948,"ipsl-cm6a-lr ssp585","0.5",0.313321278781248,0.0174469542164084,30,0.277240453931387,0.936774296930411,0.997722456423359
966,"gfdl-esm4 ssp126","0.5",0.368170475979224,0.0333851156999999,30,0.127216485658954,0.982083130727245,0.997162101921069
966,"gfdl-esm4 ssp585","0.5",0.34987602484446,0.000826280999999929,30,0.202934783609519,0.968537038177544,0.979733186229101
