"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
120,"ipsl-cm6a-lr ssp585",0.886107028450091,0.28149584989529,30,0.55400141530737,0.999996526414118,0.999988095136516
121,"gfdl-esm4 ssp126",0.21039969373282,0.00749510866993619,30,0.179885729725158,0.969021013994241,1
121,"gfdl-esm4 ssp585",0.43064141374894,-4.44089209850063e-16,30,0.402605415630883,0.990954289339438,1
121,"ipsl-cm6a-lr ssp126",0.325148275586811,0.00075108942900004,30,0.448427147300882,0.924710384824245,1
121,"ipsl-cm6a-lr ssp585",0.417271523888078,0.0257868080669817,30,0.485466498478146,0.937267309474418,1
123,"gfdl-esm4 ssp126",0.481571186557992,0,30,0.214961604671826,0.90513820452061,1
123,"gfdl-esm4 ssp585",0.590711333912109,0.100290663636068,30,0.396741020562991,0.999643244345907,1
123,"ipsl-cm6a-lr ssp126",0.703805642422398,0.169757894475994,30,0.0834258293870195,0.85803660360137,1
123,"ipsl-cm6a-lr ssp585",0.928372211996551,0.374527997007427,30,0.498514061440154,0.999987159223693,1
124,"gfdl-esm4 ssp126",0.356344313198348,0.0165256199999997,30,0.0544504925464027,0.970596860916966,1
124,"gfdl-esm4 ssp585",0.340419827184528,0.00150217885799997,30,0.490076972233656,0.939170900502002,1
124,"ipsl-cm6a-lr ssp126",0.0988315609106424,0.00300435771599994,30,0.144613958231489,0.899617331922465,0.993966300250176
124,"ipsl-cm6a-lr ssp585",0.409295266452189,0.0104285902904089,30,0.360841146625857,0.956877551150178,0.998933732112378
127,"gfdl-esm4 ssp126",0.881443500541129,0.312757968104531,30,0.185342233824178,0.820108832756616,1
127,"gfdl-esm4 ssp585",0.962345666258148,0.611122257191302,30,0.462591435283912,0.999008711560337,0.999961011418481
127,"ipsl-cm6a-lr ssp126",0.622391767541346,0.0401854876580489,30,0.264809355939056,0.965598129621676,1
127,"ipsl-cm6a-lr ssp585",0.905022157541284,0.304360904842495,30,0.760722577763776,0.996769654035271,1
128,"gfdl-esm4 ssp126",0.2030070681722,0.00991719000000002,30,0.131989026935651,0.953890262928507,0.978503984925075
128,"gfdl-esm4 ssp585",0.136506687908091,0.00330512399999983,30,0.319874880637422,0.999886267773332,0.989127796197403
128,"ipsl-cm6a-lr ssp126",0.063440734587634,-2.22044604925031e-16,30,0.370193580849488,0.900440967317105,0.997465261581538
128,"ipsl-cm6a-lr ssp585",0.218093671921969,0.00933714872617386,30,0.308069191918835,0.985007704727728,0.993735216147571
130,"gfdl-esm4 ssp126",0.861611750599339,0.263945174742817,30,0.190962929997394,0.96700730085386,1
130,"gfdl-esm4 ssp585",0.438068550873508,0.00637424051381486,30,0.29208824354638,0.965576478333847,0.997610576543094
130,"ipsl-cm6a-lr ssp126",0.609353152315053,0.0636381613106883,30,0.53905520489604,0.982399092268041,1
130,"ipsl-cm6a-lr ssp585",0.849575681611456,0.311274736830876,30,0.415471991269971,0.908968194133808,1
132,"gfdl-esm4 ssp126",0.56386731979893,0.059499504,30,0.069858753426,0.872240289980377,0.999199345591919
