"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down"
"Bouvet","gfdl-esm4 ssp126",0,0,30,0
"Bouvet","gfdl-esm4 ssp585",0,0,30,0
"Bouvet","ipsl-cm6a-lr ssp126",0,0,30,0
"Bouvet","ipsl-cm6a-lr ssp585",0,0,30,0
"Brazil","gfdl-esm4 ssp126",0.161776312001972,0.00506385410675503,30,0.144450846593783
"Brazil","gfdl-esm4 ssp585",0.678422287301292,0.0800414816524359,30,0.239749150562793
"Brazil","ipsl-cm6a-lr ssp126",0.33024974630031,0.01726429721051,30,0.283371237029678
"Brazil","ipsl-cm6a-lr ssp585",0.879264018117683,0.22401227886841,30,0.758047679627864
"British Virgin Islands","gfdl-esm4 ssp126",0,0,30,0
"British Virgin Islands","gfdl-esm4 ssp585",0,0,30,0.75
"British Virgin Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"British Virgin Islands","ipsl-cm6a-lr ssp585",0,0,30,0.125025
"Brunei","gfdl-esm4 ssp126",0.1818,0,30,0.2561971075
"Brunei","gfdl-esm4 ssp585",0,0,30,0.00826280999999995
"Brunei","ipsl-cm6a-lr ssp126",0.2235102275,0,30,0.01652562
"Brunei","ipsl-cm6a-lr ssp585",0,0,30,0
"Bulgaria","gfdl-esm4 ssp126",0.514019255080292,0.0382618270811536,30,0.0870760534990752
"Bulgaria","gfdl-esm4 ssp585",0.360664667485153,0.0371826449999997,30,0.22729123596613
"Bulgaria","ipsl-cm6a-lr ssp126",0.309427285398066,0.0115212124717886,30,0.234141546864488
"Bulgaria","ipsl-cm6a-lr ssp585",0.0708483513250119,0.00075108942900004,30,0.272226385206051
"Burkina Faso","gfdl-esm4 ssp126",0.235908396574,0,30,0
"Burkina Faso","gfdl-esm4 ssp585",0.0885918491963902,-2.22044604925031e-16,30,0
"Burkina Faso","ipsl-cm6a-lr ssp126",0.357944848558156,0,30,0.188560631142
"Burkina Faso","ipsl-cm6a-lr ssp585",0.493898156190397,0.0330512399999998,30,0.1528778925
"Burundi","gfdl-esm4 ssp126",0.614012684908272,0.118799986494452,30,0.0825241548070577
"Burundi","gfdl-esm4 ssp585",0.649069502807368,0.190133186488179,30,0.0395511872441052
"Burundi","ipsl-cm6a-lr ssp126",0.0541365623949471,0.00150217885799997,30,0.0850424232556483
"Burundi","ipsl-cm6a-lr ssp585",0.44247529449665,0.0464115684713786,30,0.378475606252609
"Cambodia","gfdl-esm4 ssp126",0.595145368696726,0.0420734031479999,30,0.614252509582187
"Cambodia","gfdl-esm4 ssp585",0.747293389286819,0.109064432821719,30,0.295192707326436
"Cambodia","ipsl-cm6a-lr ssp126",0.044999861363638,0,30,0.086918543355077
"Cambodia","ipsl-cm6a-lr ssp585",0.540304426408824,0.0646748196213086,30,0.385291647460334
"Cameroon","gfdl-esm4 ssp126",0.146559220742096,0.00619710750000013,30,0.136854635037708
"Cameroon","gfdl-esm4 ssp585",0.180644982826627,0,30,0.409745845734709
"Cameroon","ipsl-cm6a-lr ssp126",0.207134503172721,0,30,0.383042723443823
"Cameroon","ipsl-cm6a-lr ssp585",0.345698623169051,0.00901307314799993,30,0.145057362377907
"Canada","gfdl-esm4 ssp126",0.247770933300544,0.00206570249999993,30,0.0164573459709038
"Canada","gfdl-esm4 ssp585",0.751872232080656,0.0961658897219999,30,0.125574032522107
"Canada","ipsl-cm6a-lr ssp126",0.736246102596249,0.0689174317817652,30,0.01515303
"Canada","ipsl-cm6a-lr ssp585",0.217001047431107,0.020661156405,30,0.127524944758123
"Canary Islands","gfdl-esm4 ssp126",0,0,30,0
"Canary Islands","gfdl-esm4 ssp585",0,0,30,0
"Canary Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"Canary Islands","ipsl-cm6a-lr ssp585",0,0,30,0
"Cape Verde","gfdl-esm4 ssp126",0,0,30,0
"Cape Verde","gfdl-esm4 ssp585",0,0,30,0
"Cape Verde","ipsl-cm6a-lr ssp126",0,0,30,0
"Cape Verde","ipsl-cm6a-lr ssp585",0,0,30,0
"Cayman Islands","gfdl-esm4 ssp126",0,0,30,0
