"regions","climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
"Burkina Faso","gfdl-esm4 ssp585","shock_0.25",0.0694690548117587,0.843063376352082,30
"Burkina Faso","ipsl-cm6a-lr ssp126","shock_0.25",0.374902481000595,0.95900453457473,30
"Burkina Faso","ipsl-cm6a-lr ssp585","shock_0.25",0.525036275238457,0.983073895396208,30
"Burundi","gfdl-esm4 ssp126","shock_0.25",0.154971596210958,0.499044803223632,30
"Burundi","gfdl-esm4 ssp585","shock_0.25",0.161116202948115,0.469902222742296,30
"Burundi","ipsl-cm6a-lr ssp126","shock_0.25",0.0106693094305956,0.137037711597013,30
"Burundi","ipsl-cm6a-lr ssp585","shock_0.25",0.15257618521709,0.551648227465539,30
"Cambodia","gfdl-esm4 ssp126","shock_0.25",0.0941945674097736,0.549138495844429,30
"Cambodia","gfdl-esm4 ssp585","shock_0.25",0.0996612402388866,0.575269189825891,30
"Cambodia","ipsl-cm6a-lr ssp126","shock_0.25",0.00790020877811426,0.152548626321142,30
"Cambodia","ipsl-cm6a-lr ssp585","shock_0.25",0.113663608547678,0.558110464762697,30
"Cameroon","gfdl-esm4 ssp126","shock_0.25",0.0367626668,0.212843954119055,30
"Cameroon","gfdl-esm4 ssp585","shock_0.25",0.101791271810086,0.46368527375983,30
"Cameroon","ipsl-cm6a-lr ssp126","shock_0.25",0.0134791509649186,0.256522257716316,30
"Cameroon","ipsl-cm6a-lr ssp585","shock_0.25",0.0236509396582468,0.31078634142772,30
"Canada","gfdl-esm4 ssp126","shock_0.25",0.0603162950399997,0.353073483758267,30
"Canada","gfdl-esm4 ssp585","shock_0.25",0.0996369844111152,0.5714496418315,30
"Canada","ipsl-cm6a-lr ssp126","shock_0.25",0.0416229248985117,0.528050179027557,30
"Canada","ipsl-cm6a-lr ssp585","shock_0.25",0.0147007042251305,0.183238320413982,30
"Cape Verde","gfdl-esm4 ssp126","shock_0.25",0.8125,0.8125,30
"Cape Verde","gfdl-esm4 ssp585","shock_0.25",0.875,0.875,30
"Cape Verde","ipsl-cm6a-lr ssp126","shock_0.25",0.998744459080827,0.998744459080827,30
"Cape Verde","ipsl-cm6a-lr ssp585","shock_0.25",1,1,30
"Central African Republic","gfdl-esm4 ssp126","shock_0.25",0.0695761943704818,0.668887497145862,30
"Central African Republic","gfdl-esm4 ssp585","shock_0.25",0.0403959599999999,0.763544219244791,30
"Central African Republic","ipsl-cm6a-lr ssp126","shock_0.25",0.132069393452103,0.837888227216263,30
"Central African Republic","ipsl-cm6a-lr ssp585","shock_0.25",0.54425358868783,0.997029537233156,30
"Chad","gfdl-esm4 ssp126","shock_0.25",0.0111743197128515,0.148315834565122,30
"Chad","gfdl-esm4 ssp585","shock_0.25",0.0702153172600626,0.445159587356542,30
"Chad","ipsl-cm6a-lr ssp126","shock_0.25",0.320190882211592,0.686383663564531,30
"Chad","ipsl-cm6a-lr ssp585","shock_0.25",0.207572719709588,0.611259946643528,30
"Chile","gfdl-esm4 ssp126","shock_0.25",0.0505594977007614,0.377479007479985,30
"Chile","gfdl-esm4 ssp585","shock_0.25",0.0346655729849586,0.39567428916438,30
"Chile","ipsl-cm6a-lr ssp126","shock_0.25",0,0.132093697502515,30
"Chile","ipsl-cm6a-lr ssp585","shock_0.25",-2.22044604925031e-16,0.108244921257653,30
"China","gfdl-esm4 ssp126","shock_0.25",0.337386190140599,0.337386190140599,30
"China","gfdl-esm4 ssp585","shock_0.25",0.200156232554418,0.200156232554418,30
"China","ipsl-cm6a-lr ssp126","shock_0.25",0.255341445732027,0.255341445732027,30
"China","ipsl-cm6a-lr ssp585","shock_0.25",0.127676197277203,0.127676197277203,30
"Colombia","gfdl-esm4 ssp126","shock_0.25",0.28171143772513,0.28171143772513,30
"Colombia","gfdl-esm4 ssp585","shock_0.25",0.409448057663069,0.409448057663069,30
"Colombia","ipsl-cm6a-lr ssp126","shock_0.25",0.09003347471419,0.09003347471419,30
"Colombia","ipsl-cm6a-lr ssp585","shock_0.25",0.354072657742972,0.354072657742972,30
"Comores","gfdl-esm4 ssp126","shock_0.25",1,1,30
"Comores","gfdl-esm4 ssp585","shock_0.25",1,1,30
"Comores","ipsl-cm6a-lr ssp126","shock_0.25",0.988422916545143,0.988422916545143,30
"Comores","ipsl-cm6a-lr ssp585","shock_0.25",1,1,30
"Costa Rica","gfdl-esm4 ssp126","shock_0.25",0.0332984532812499,0.244374483679741,30
"Costa Rica","gfdl-esm4 ssp585","shock_0.25",0.037507486972003,0.372405437916264,30
"Costa Rica","ipsl-cm6a-lr ssp126","shock_0.25",0.118647443228577,0.544606076247388,30
"Costa Rica","ipsl-cm6a-lr ssp585","shock_0.25",0.118076066517603,0.517406388604015,30
"Croatia","gfdl-esm4 ssp126","shock_0.25",0.00363600000000008,0.106813479020748,30
"Croatia","gfdl-esm4 ssp585","shock_0.25",0.009066882158146,0.398927607341346,30
"Croatia","ipsl-cm6a-lr ssp126","shock_0.25",0.156435377288159,0.466037357550594,30
"Croatia","ipsl-cm6a-lr ssp585","shock_0.25",0.206594988771265,0.67645680216428,30
"Cuba","gfdl-esm4 ssp126","shock_0.25",0.615923201427325,0.615923201427325,30
"Cuba","gfdl-esm4 ssp585","shock_0.25",0.344910147996735,0.344910147996735,30
"Cuba","ipsl-cm6a-lr ssp126","shock_0.25",0.176501421432922,0.176501421432922,30
"Cuba","ipsl-cm6a-lr ssp585","shock_0.25",0.603446785119209,0.603446785119209,30
"Cyprus","gfdl-esm4 ssp126","shock_0.25",0.554921600322138,0.554921600322138,30
"Cyprus","gfdl-esm4 ssp585","shock_0.25",0.766121870975488,0.766121870975488,30
"Cyprus","ipsl-cm6a-lr ssp126","shock_0.25",0.291701764266469,0.291701764266469,30
"Cyprus","ipsl-cm6a-lr ssp585","shock_0.25",0.351951898067542,0.351951898067542,30
"Czech Republic","gfdl-esm4 ssp126","shock_0.25",0.729592161746224,0.729592161746224,30
"Czech Republic","gfdl-esm4 ssp585","shock_0.25",0.570922775435377,0.570922775435377,30
"Czech Republic","ipsl-cm6a-lr ssp126","shock_0.25",0.612732352189011,0.612732352189011,30
"Czech Republic","ipsl-cm6a-lr ssp585","shock_0.25",0.751822711860473,0.751822711860473,30
"Democratic Republic of the Congo","gfdl-esm4 ssp126","shock_0.25",0.10295568633802,0.10295568633802,30
"Democratic Republic of the Congo","gfdl-esm4 ssp585","shock_0.25",0.0341154103457721,0.0341154103457721,30
"Democratic Republic of the Congo","ipsl-cm6a-lr ssp126","shock_0.25",0.195644835590346,0.195644835590346,30
"Democratic Republic of the Congo","ipsl-cm6a-lr ssp585","shock_0.25",0.0803626273467862,0.0803626273467862,30
"Denmark","gfdl-esm4 ssp126","shock_0.25",0.628176020052483,0.628176020052483,30
"Denmark","gfdl-esm4 ssp585","shock_0.25",0.628068653947908,0.628068653947908,30
"Denmark","ipsl-cm6a-lr ssp126","shock_0.25",0.214586825017661,0.214586825017661,30
"Denmark","ipsl-cm6a-lr ssp585","shock_0.25",0.508917319037885,0.508917319037885,30
"Djibouti","gfdl-esm4 ssp126","shock_0.25",0.114186358,0.804432115003238,30
"Djibouti","gfdl-esm4 ssp585","shock_0.25",0.4007892175144,0.982709617293358,30
"Djibouti","ipsl-cm6a-lr ssp126","shock_0.25",0.328234632814889,0.981018972157987,30
"Djibouti","ipsl-cm6a-lr ssp585","shock_0.25",0.0666599999999998,0.904637324527211,30
"Dominica","gfdl-esm4 ssp126","shock_0.25",1,1,30
"Dominica","gfdl-esm4 ssp585","shock_0.25",1,1,30
"Dominica","ipsl-cm6a-lr ssp126","shock_0.25",0.990699975926429,0.990699975926429,30
"Dominica","ipsl-cm6a-lr ssp585","shock_0.25",0.97416737485964,0.97416737485964,30
"Dominican Republic","gfdl-esm4 ssp126","shock_0.25",0.335974022495643,0.335974022495643,30
"Dominican Republic","gfdl-esm4 ssp585","shock_0.25",0.522288766303816,0.522288766303816,30
"Dominican Republic","ipsl-cm6a-lr ssp126","shock_0.25",0.223861182398751,0.223861182398751,30
"Dominican Republic","ipsl-cm6a-lr ssp585","shock_0.25",0.575274905091192,0.575274905091192,30
"East Timor","gfdl-esm4 ssp126","shock_0.25",0.537868615415448,0.775890014866506,30
"East Timor","gfdl-esm4 ssp585","shock_0.25",0.274995,0.537981081896977,30
"East Timor","ipsl-cm6a-lr ssp126","shock_0.25",0.0324050924999999,0.345578536167813,30
"East Timor","ipsl-cm6a-lr ssp585","shock_0.25",0.0238541590869557,0.251152380811662,30
"Ecuador","gfdl-esm4 ssp126","shock_0.25",0.482850717768508,0.482850717768508,30
"Ecuador","gfdl-esm4 ssp585","shock_0.25",0.669264858739875,0.669264858739875,30
"Ecuador","ipsl-cm6a-lr ssp126","shock_0.25",0.111761678315004,0.111761678315004,30
